cliente_id,ingresos_mensuales,antiguedad_meses,tipo_cliente,servicios_contratados,reclamos,churn
1,1360,14,Individual,1,3,0
2,4272,12,Corporativo,1,4,0
3,3592,51,Individual,1,5,0
4,966,23,Pyme,1,4,0
5,4926,15,Pyme,3,6,1
6,3944,28,Individual,3,1,0
7,3671,34,Pyme,2,6,1
8,3419,2,Pyme,2,9,1
9,630,32,Individual,1,6,1
10,2185,23,Corporativo,4,0,0
11,1269,22,Pyme,4,6,1
12,2891,51,Pyme,3,4,0
13,2933,25,Corporativo,3,2,0
14,1684,58,Pyme,3,2,0
15,3885,22,Pyme,2,3,0
16,4617,58,Individual,2,1,0
17,3404,58,Individual,3,1,0
18,974,22,Individual,3,0,0
19,1582,49,Individual,3,4,0
20,3058,52,Pyme,4,3,0
21,2547,42,Corporativo,2,9,1
22,3247,6,Pyme,4,1,0
23,1475,15,Pyme,4,2,0
24,2306,54,Corporativo,3,6,1
25,689,43,Pyme,3,6,1
26,3234,37,Pyme,1,3,0
27,3505,33,Individual,1,4,0
28,2399,8,Individual,4,4,0
29,1767,53,Pyme,2,5,0
30,2028,44,Pyme,3,8,1
31,3702,44,Corporativo,3,1,0
32,4056,5,Individual,4,4,1
33,4390,39,Individual,1,2,0
34,1146,4,Corporativo,2,3,1
35,3388,6,Pyme,1,9,1
36,2935,45,Corporativo,1,5,0
37,1100,32,Corporativo,1,7,1
38,2863,52,Corporativo,1,0,0
39,2561,30,Corporativo,3,9,1
40,741,47,Individual,3,7,1
41,2541,35,Pyme,1,6,1
42,3324,55,Pyme,2,0,0
43,3112,40,Individual,4,1,0
44,1863,52,Individual,2,2,0
45,1978,16,Individual,2,0,0
46,3056,13,Corporativo,2,8,1
47,1275,50,Pyme,1,7,1
48,4514,42,Corporativo,3,1,0
49,534,30,Pyme,2,8,1
50,3652,19,Corporativo,1,6,1
51,2455,17,Pyme,2,8,1
52,2085,56,Pyme,2,5,0
53,4443,19,Corporativo,1,5,0
54,3573,28,Corporativo,3,3,0
55,1521,58,Pyme,3,9,1
56,3961,55,Corporativo,4,9,1
57,3113,26,Pyme,1,1,0
58,4343,37,Corporativo,4,6,1
59,2000,26,Corporativo,4,4,0
60,661,53,Pyme,4,5,0
61,4797,23,Pyme,3,1,0
62,2481,9,Corporativo,1,4,0
63,1495,12,Corporativo,4,9,1
64,3842,53,Corporativo,1,3,0
65,4298,1,Individual,1,8,1
66,1775,58,Pyme,3,5,0
67,1516,58,Pyme,4,1,0
68,837,1,Individual,4,0,1
69,1378,47,Corporativo,1,4,0
70,1576,34,Individual,2,8,1
71,4493,32,Pyme,3,5,0
72,879,54,Corporativo,3,9,1
73,992,48,Pyme,3,6,1
74,2562,25,Individual,3,4,0
75,4384,40,Pyme,4,9,1
76,564,45,Individual,4,5,0
77,3068,53,Pyme,2,4,0
78,2527,1,Individual,3,8,1
79,3195,16,Pyme,3,5,0
80,1995,39,Individual,1,7,1
81,891,5,Pyme,4,1,1
82,4974,22,Corporativo,3,8,1
83,4061,29,Corporativo,2,4,0
84,2778,55,Corporativo,2,6,1
85,3599,3,Corporativo,4,9,1
86,700,12,Corporativo,2,0,0
87,3604,26,Pyme,2,9,1
88,2954,16,Pyme,4,4,0
89,4145,51,Individual,3,9,1
90,1304,37,Individual,3,1,0
91,3231,22,Pyme,2,5,0
92,3273,57,Individual,2,0,0
93,2070,29,Individual,3,2,0
94,3190,14,Pyme,4,4,0
95,4340,28,Corporativo,2,3,0
96,1528,5,Corporativo,1,2,1
97,1002,47,Corporativo,4,9,1
98,4993,49,Corporativo,2,4,0
99,1370,30,Corporativo,2,7,1
100,4988,46,Individual,1,3,0
101,706,52,Individual,1,0,0
102,1984,5,Corporativo,3,6,1
103,1363,12,Corporativo,4,7,1
104,3290,16,Corporativo,4,2,0
105,1063,26,Pyme,3,5,0
106,4691,26,Pyme,4,1,0
107,2257,48,Individual,4,6,1
108,2178,21,Pyme,4,7,1
109,3742,39,Individual,4,5,0
110,1559,36,Individual,4,5,0
111,2222,33,Corporativo,1,4,0
112,3814,30,Individual,4,7,1
113,3657,37,Pyme,1,0,0
114,3125,23,Pyme,4,9,1
115,3229,58,Pyme,3,3,0
116,2097,10,Individual,2,3,0
117,3560,54,Pyme,1,2,0
118,3193,5,Individual,4,2,1
119,4127,36,Individual,3,3,0
120,1863,34,Pyme,2,0,0
121,2481,52,Individual,1,1,0
122,2163,31,Pyme,2,8,1
123,2029,10,Pyme,3,9,1
124,2538,58,Pyme,1,1,0
125,3802,19,Corporativo,2,4,0
126,2737,58,Individual,4,8,1
127,1806,32,Pyme,1,8,1
128,4529,1,Pyme,2,7,1
129,3175,56,Individual,3,0,0
130,1782,5,Corporativo,3,0,1
131,1209,45,Pyme,1,8,1
132,4913,4,Pyme,2,7,1
133,4248,16,Individual,1,9,1
134,1163,24,Pyme,1,8,1
135,2498,16,Individual,2,6,1
136,3945,55,Individual,2,2,0
137,4243,2,Corporativo,4,2,1
138,1995,49,Corporativo,2,1,0
139,3804,28,Pyme,3,4,0
140,4263,32,Pyme,1,2,0
141,2353,27,Corporativo,1,5,0
142,1791,20,Pyme,3,1,0
143,4081,24,Pyme,2,2,0
144,3957,12,Pyme,3,4,0
145,2136,50,Pyme,3,0,0
146,4196,35,Pyme,4,0,0
147,3499,33,Pyme,3,9,1
148,3652,33,Pyme,1,8,1
149,1198,51,Corporativo,3,6,1
150,2660,43,Pyme,1,0,0
151,4597,37,Pyme,1,7,1
152,1354,12,Individual,1,2,0
153,3974,3,Pyme,2,7,1
154,2207,1,Individual,4,4,1
155,3277,33,Pyme,1,0,0
156,2233,40,Corporativo,1,6,1
157,4010,10,Individual,2,4,0
158,702,43,Pyme,1,5,0
159,3755,44,Pyme,3,5,0
160,4718,29,Corporativo,3,7,1
161,4996,13,Pyme,4,8,1
162,1266,12,Pyme,1,1,0
163,4889,31,Pyme,2,8,1
164,2827,46,Individual,3,9,1
165,3431,2,Corporativo,2,8,1
166,697,51,Pyme,2,9,1
167,2430,50,Pyme,3,9,1
168,4082,35,Corporativo,2,6,1
169,1108,23,Pyme,3,0,0
170,3772,17,Pyme,2,6,1
171,1647,26,Pyme,3,9,1
172,4782,8,Corporativo,1,4,0
173,3897,29,Pyme,4,5,0
174,3011,26,Corporativo,3,9,1
175,2294,10,Individual,3,6,1
176,1159,26,Corporativo,4,4,0
177,3311,34,Pyme,3,6,1
178,1869,51,Individual,3,8,1
179,2486,41,Pyme,2,2,0
180,646,7,Individual,4,7,1
181,3719,4,Corporativo,1,1,1
182,3411,58,Individual,3,6,1
183,2234,53,Pyme,4,1,0
184,2343,50,Individual,2,3,0
185,988,45,Corporativo,1,6,1
186,3476,11,Corporativo,4,2,0
187,2459,29,Corporativo,1,1,0
188,2885,56,Pyme,1,9,1
189,3419,36,Individual,1,6,1
190,2302,25,Individual,3,0,0
191,4561,21,Corporativo,3,7,1
192,3869,57,Individual,2,2,0
193,762,36,Pyme,2,1,0
194,1123,10,Pyme,4,2,0
195,1516,37,Corporativo,2,4,0
196,4143,9,Individual,1,7,1
197,2549,24,Corporativo,1,9,1
198,4223,35,Pyme,3,6,1
199,3608,49,Individual,1,6,1
200,4590,35,Corporativo,4,6,1
201,2556,48,Pyme,1,7,1
202,3670,36,Corporativo,1,0,0
203,2182,18,Pyme,4,3,0
204,2755,49,Pyme,2,5,0
205,1654,39,Pyme,2,8,1
206,4999,32,Pyme,4,1,0
207,3691,24,Pyme,3,0,0
208,2196,23,Pyme,1,9,1
209,4491,32,Individual,4,1,0
210,2148,37,Pyme,1,6,1
211,1945,12,Pyme,3,2,0
212,4699,49,Pyme,1,9,1
213,4423,55,Pyme,4,1,0
214,753,13,Pyme,1,6,1
215,3683,23,Individual,2,1,0
216,3057,25,Pyme,3,2,0
217,598,35,Corporativo,3,6,1
218,2700,41,Pyme,3,3,0
219,3461,30,Pyme,4,0,0
220,4933,17,Individual,3,4,0
221,4277,49,Corporativo,2,8,1
222,3369,20,Corporativo,4,7,1
223,3734,48,Pyme,2,8,1
224,4291,25,Pyme,1,9,1
225,1456,22,Individual,1,8,1
226,4567,13,Corporativo,1,6,1
227,660,59,Individual,1,3,0
228,4993,19,Corporativo,2,4,0
229,1800,49,Individual,4,0,0
230,4487,36,Corporativo,4,0,0
231,2027,12,Corporativo,3,2,0
232,1718,41,Pyme,2,7,1
233,4996,19,Individual,1,1,0
234,3604,12,Individual,2,3,0
235,3235,9,Pyme,3,1,0
236,1454,7,Individual,3,4,0
237,3946,28,Corporativo,2,8,1
238,1545,14,Individual,2,0,0
239,2193,31,Pyme,2,4,0
240,3936,52,Individual,4,8,1
241,1062,19,Individual,1,0,0
242,2985,58,Individual,2,8,1
243,3854,47,Pyme,2,7,1
244,725,16,Pyme,2,3,0
245,1459,53,Individual,3,9,1
246,3567,5,Corporativo,3,4,1
247,1315,35,Individual,4,4,0
248,3620,12,Individual,1,5,0
249,516,25,Corporativo,4,6,1
250,1743,52,Individual,1,7,1
251,2705,59,Pyme,3,7,1
252,3024,21,Individual,3,1,0
253,1569,36,Individual,3,8,1
254,3944,53,Corporativo,4,6,1
255,3065,23,Pyme,2,3,0
256,1560,16,Individual,2,3,0
257,2827,57,Pyme,3,7,1
258,3920,39,Pyme,2,3,0
259,801,45,Pyme,2,5,0
260,4776,53,Pyme,4,4,0
261,1106,42,Pyme,1,2,0
262,3670,58,Pyme,3,9,1
263,1199,39,Corporativo,3,1,0
264,1639,14,Pyme,4,8,1
265,690,31,Corporativo,4,9,1
266,2800,58,Corporativo,2,8,1
267,1480,5,Corporativo,3,0,1
268,3475,35,Corporativo,1,9,1
269,1684,23,Pyme,4,2,0
270,3827,29,Pyme,1,7,1
271,3894,43,Individual,1,5,0
272,627,11,Corporativo,3,4,0
273,2565,18,Individual,3,4,0
274,2316,47,Individual,4,5,0
275,1069,12,Pyme,3,6,1
276,2395,9,Individual,3,0,0
277,3233,10,Individual,3,8,1
278,4363,58,Corporativo,1,2,0
279,4514,44,Pyme,4,3,0
280,3401,17,Individual,2,9,1
281,2186,38,Individual,1,0,0
282,3509,7,Corporativo,3,9,1
283,654,46,Individual,1,2,0
284,3037,13,Individual,3,1,0
285,1909,40,Individual,3,1,0
286,4557,42,Individual,1,0,0
287,1284,9,Individual,4,7,1
288,3675,50,Corporativo,3,2,0
289,4841,27,Corporativo,4,2,0
290,3306,58,Pyme,2,5,0
291,1037,2,Individual,3,7,1
292,2341,5,Pyme,4,8,1
293,2955,29,Pyme,4,8,1
294,1024,37,Pyme,2,3,0
295,3450,38,Pyme,4,4,0
296,4631,19,Individual,4,1,0
297,4615,8,Individual,2,8,1
298,2868,48,Pyme,3,7,1
299,4347,45,Pyme,4,2,0
300,4995,1,Pyme,4,8,1
